flat,school,school_dist,num_school_2km
141 PETIR RD,Bukit Panjang Primary School,0.28443647566756974,11
150 SILAT AVE,CHIJ (Kellock),0.42884063433346786,8
2 HOUGANG AVE 3,Holy Innocents' Primary School,0.43287131283478963,12
5 TELOK BLANGAH CRES,Radin Mas Primary School,0.6921514054341924,8
119D RIVERVALE DR,North Spring Primary School,0.19933709134703873,22
688C WOODLANDS DR 75,Greenwood Primary School,0.4675049119181384,17
424C YISHUN AVE 11,North View Primary School,0.4820723283911506,7
490C CHOA CHU KANG AVE 5,Chua Chu Kang Primary School,0.22230169813961512,8
903 JURONG WEST ST 91,Pioneer Primary School,0.20507922049641125,9
410 PANDAN GDNS,Qifa Primary School,1.2044538886338327,4
502 JELAPANG RD,Greenridge Primary School,0.2667784988227671,11
683B CHOA CHU KANG CRES,Unity Primary School,0.11881497489923792,4
221 SIMEI ST 4,Changkat Primary School,0.5108473511714803,15
596A ANG MO KIO ST 52,Jing Shan Primary School,0.13345377921627993,8
303 CANBERRA RD,Sembawang Primary School,0.1613945807599958,9
714 CLEMENTI WEST ST 2,Qifa Primary School,1.131816551506412,6
30 JLN KLINIK,Zhangde Primary School,0.4571521982153408,9
746 PASIR RIS ST 71,Meridian Primary School,0.3417236978910672,5
645 PASIR RIS DR 10,Park View Primary School,0.22622853047382988,5
803C KEAT HONG CL,Chua Chu Kang Primary School,0.5415088775804136,8
740 PASIR RIS ST 71,Meridian Primary School,0.2899378556924884,5
446A BT BATOK WEST AVE 8,Princess Elizabeth Primary School,0.21490942368070343,13
611 BT PANJANG RING RD,West View Primary School,0.17680568719629963,12
40 SIMS DR,Geylang Methodist School (Primary),0.8338490045138989,7
492D TAMPINES ST 45,Tampines Primary School,0.7038783996349708,22
431 ANG MO KIO AVE 10,Teck Ghee Primary School,0.36789887927304665,9
623 BEDOK RESERVOIR RD,Damai Primary School,0.5354811552422464,13
777 PASIR RIS ST 71,Meridian Primary School,0.2751681376701651,6
816A KEAT HONG LINK,South View Primary School,0.6846270448519389,11
179 TOA PAYOH CTRL,Kheng Cheng School,0.49818678387963344,16
91A TELOK BLANGAH ST 31,Blangah Rise Primary School,0.1748871856724227,4
176 WOODLANDS ST 13,Fuchun Primary School,0.32556560307576304,11
431 TAMPINES ST 41,Tampines Primary School,0.24008009916154674,27
457 YISHUN ST 41,Northland Primary School,0.5168708545507579,12
216B COMPASSVALE DR,Nan Chiau Primary School,0.33464331806455505,24
12 PINE CL,Kong Hwa School,0.7300786723306862,3
434 ANG MO KIO AVE 10,Teck Ghee Primary School,0.3770460339408503,10
229 SIMEI ST 4,Changkat Primary School,0.5524165864486754,17
609 YISHUN ST 61,Northland Primary School,0.509186356714835,14
222 LOR 8 TOA PAYOH,First Toa Payoh Primary School,0.1700907106928539,17
808C CHOA CHU KANG AVE 1,Chua Chu Kang Primary School,0.5707132352518873,10
195B PUNGGOL RD,Edgefield Primary School,0.15863450059560275,25
624 ANG MO KIO AVE 4,Anderson Primary School,0.33649124897294136,6
869A TAMPINES AVE 8,Poi Ching School,0.4370764004899184,14
802 YISHUN RING RD,Peiying Primary School,0.2080435939409281,10
961 JURONG WEST ST 92,Xingnan Primary School,0.4791388310576339,9
521 JURONG WEST ST 52,Rulang Primary School,0.1356696766759157,9
369 WOODLANDS AVE 1,Si Ling Primary School,0.19167107638629313,16
322 ANG MO KIO AVE 3,Teck Ghee Primary School,0.4707301429922812,10
162 YUNG PING RD,Lakeside Primary School,1.045632034822251,8
111 BT PURMEI RD,CHIJ (Kellock),0.08810439912672163,7
220C BEDOK CTRL,Bedok Green Primary School,0.5037762120640729,12
117 TECK WHYE LANE,Teck Whye Primary School,0.5021459297906108,14
450E TAMPINES ST 42,Gongshang Primary School,0.4342355955276038,27
101A LOR 2 TOA PAYOH,Kheng Cheng School,0.26603129665843883,13
675 CHOA CHU KANG CRES,Unity Primary School,0.19075479454086444,4
47 MOH GUAN TER,Zhangde Primary School,0.5688690341322495,9
440 PASIR RIS DR 4,Casuarina Primary School,0.42355160540023773,13
232 BAIN ST,Tao Nan School,0.5558794502684338,8
70C TELOK BLANGAH HTS,Blangah Rise Primary School,0.24905639811082514,7
411A FERNVALE RD,Fernvale Primary School,0.2754512007767074,9
563 HOUGANG ST 51,Yio Chu Kang Primary School,0.40151600529451875,20
157 JLN TECK WHYE,Teck Whye Primary School,0.6092044334649969,15
928 JURONG WEST ST 92,Xingnan Primary School,0.2306095270459152,9
205C COMPASSVALE LANE,North Vista Primary School,0.36639450770400867,24
689A WOODLANDS DR 75,Greenwood Primary School,0.6062685908774582,16
43 MOH GUAN TER,Zhangde Primary School,0.569568071461456,9
531 BEDOK NTH ST 3,Damai Primary School,0.6014586626252881,12
291A COMPASSVALE ST,Compassvale Primary School,0.13027699009774427,28
50 CHAI CHEE ST,Damai Primary School,0.6926183348334704,10
107 BT PURMEI RD,Radin Mas Primary School,0.20836309443499165,8
845 TAMPINES ST 83,St. Hilda's Primary School,0.3863277512071232,20
314 SERANGOON AVE 2,St. Gabriel's Primary School,0.5038493852518514,14
538 WOODLANDS DR 16,Innova Primary School,0.17884363134052675,17
668 CHOA CHU KANG CRES,Unity Primary School,0.3220220289557047,4
836 HOUGANG CTRL,Montfort Junior School,0.43002438226936374,14
13 TECK WHYE LANE,Teck Whye Primary School,0.5867077269719121,14
166 TAMPINES ST 12,Tampines Primary School,0.2902885689689811,25
607 HOUGANG AVE 4,Xinmin Primary School,0.3650204706894776,14
343 TAMPINES ST 33,East Spring Primary School,0.09570599307440476,19
682C WOODLANDS DR 73,Greenwood Primary School,0.076599333694453,17
14 BEDOK STH AVE 2,Bedok Green Primary School,0.2977642104329164,10
981D BUANGKOK CRES,Hougang Primary School,0.3769137354697629,15
174 WOODLANDS ST 13,Fuchun Primary School,0.301430014366751,11
818 WOODLANDS ST 82,Qihua Primary School,0.18173669242623,19
708 CLEMENTI WEST ST 2,Qifa Primary School,1.0286715039428815,6
658B PUNGGOL EAST,Waterway Primary School,0.16042968015837614,11
886D WOODLANDS DR 50,Woodlands Primary School,0.3480182328509343,18
118 TECK WHYE LANE,Teck Whye Primary School,0.5110950165699876,12
213 MARSILING CRES,Marsiling Primary School,1.3991275286154041,5
801 YISHUN RING RD,Peiying Primary School,0.22987568098676425,10
127C KIM TIAN RD,Zhangde Primary School,0.5431051240013284,9
735 YISHUN ST 72,Jiemin Primary School,0.1641245388840767,14
209 CHOA CHU KANG CTRL,South View Primary School,0.2321415740489114,11
560 ANG MO KIO AVE 10,Jing Shan Primary School,0.8011682101537579,10
14A UPP BOON KENG RD,Bendemeer Primary School,0.9329010857419443,8
532 WOODLANDS DR 14,Innova Primary School,0.2823003702212008,17
104 RIVERVALE WALK,North Spring Primary School,0.551688224427728,19
132 SIMEI ST 1,Angsana Primary School,0.5013838941982115,19
522 JURONG WEST ST 52,Rulang Primary School,0.2028024821294769,10
30 TEBAN GDNS RD,Fuhua Primary School,1.7651976929281445,2
111B DEPOT RD,Blangah Rise Primary School,0.5552945630064909,6
172 HOUGANG AVE 1,Methodist Girls' School (Primary),0.5181907980768297,6
167 BISHAN ST 13,Kuo Chuan Presbyterian Primary School,0.15984181524756447,16
552 CHOA CHU KANG ST 52,De La Salle School,0.06083048657075293,10
41 TANGLIN HALT RD,New Town Primary School,0.23004981541045072,4
405 HOUGANG AVE 10,CHIJ Our Lady of the Nativity,0.14918076274492914,15
28 NEW UPP CHANGI RD,Bedok Green Primary School,0.3224845780233248,10
352 CLEMENTI AVE 2,Pei Tong Primary School,0.4682719261469357,7
325 SEMBAWANG CRES,Sembawang Primary School,0.2675020417611594,10
312 ANG MO KIO AVE 3,Teck Ghee Primary School,0.2517532688537625,14
354B ADMIRALTY DR,Canberra Primary School,0.3278605762138573,10
707 PASIR RIS DR 10,Park View Primary School,0.4599122305872628,5
107A EDGEFIELD PLAINS,Edgefield Primary School,0.33946192565237854,26
388 BT BATOK WEST AVE 5,St. Anthony's Primary School,0.333759311995414,7
430A FERNVALE LINK,Sengkang Green Primary School,0.38425911177391636,8
756 JURONG WEST ST 74,Westwood Primary School,0.23779117955492754,13
211 BT BATOK ST 21,Bukit View Primary School,0.36922436260405084,11
537 HOUGANG ST 52,Montfort Junior School,0.4419561950529894,18
608 HOUGANG AVE 4,Xinmin Primary School,0.2686575370701132,14
620 CHOA CHU KANG ST 62,Unity Primary School,0.3637970843185359,7
853 HOUGANG CTRL,Holy Innocents' Primary School,0.25933941756218215,13
213 BEDOK NTH ST 1,Fengshan Primary School,0.3976183057788381,12
690D CHOA CHU KANG CRES,Unity Primary School,0.5831665425502948,4
555 CHOA CHU KANG NTH 6,De La Salle School,0.1824695524804895,9
718 TAMPINES ST 72,Poi Ching School,0.16218797302711557,19
497B TAMPINES ST 45,East Spring Primary School,0.7779672425000279,19
425 HOUGANG AVE 6,Montfort Junior School,0.4300077972469598,15
182 EDGEFIELD PLAINS,Edgefield Primary School,0.20798516018257152,23
216 BISHAN ST 23,Catholic High School (Primary),0.5991149303851347,14
68 REDHILL CL,Gan Eng Seng Primary School,0.15091077793599686,9
326 HOUGANG AVE 7,Holy Innocents' Primary School,0.5089277937040735,12
722 ANG MO KIO AVE 8,Jing Shan Primary School,0.5122518751339619,8
175 BISHAN ST 13,Kuo Chuan Presbyterian Primary School,0.07373651918530143,17
222 BT BATOK EAST AVE 3,Bukit View Primary School,0.22361502657969878,11
428 JURONG WEST AVE 1,Shuqun Primary School,0.6048522182975932,10
256A SUMANG WALK,Valour Primary School,0.384119191996052,22
