flat,mrt,mrt_dist,num_mrt_2km
210B COMPASSVALE LANE,KANGKAR LRT STATION,0.27292149550591205,16
152 YISHUN ST 11,YISHUN MRT STATION,0.17872390341532335,3
921 JURONG WEST ST 92,PIONEER MRT STATION,0.9654272052102715,3
315 SERANGOON AVE 2,LORONG CHUAN MRT STATION,0.25047374473252465,7
248 BT BATOK EAST AVE 5,BUKIT BATOK MRT STATION,0.792319604526138,3
216B BOON LAY AVE,LAKESIDE MRT STATION,1.1880769471255825,2
556 WOODLANDS DR 53,WOODLANDS SOUTH MRT STATION,0.6687094943022323,4
89 DAWSON RD,QUEENSTOWN MRT STATION,0.6593151476900921,4
704 CHOA CHU KANG ST 53,CHOA CHU KANG MRT STATION,0.5824183582168432,8
133 SIMEI ST 1,SIMEI MRT STATION,0.5238504104556306,8
944 TAMPINES AVE 5,TAMPINES MRT STATION,0.540301009452271,6
145 PASIR RIS ST 11,TAMPINES EAST MRT STATION,1.041547954818857,2
527 WOODLANDS DR 14,WOODLANDS SOUTH MRT STATION,0.5317028812813069,5
868 YISHUN ST 81,KHATIB MRT STATION,0.6246645661264997,2
108B MCNAIR RD,BOON KENG MRT STATION,0.30453598472018417,13
172B EDGEDALE PLAINS,CORAL EDGE LRT STATION,0.2174232898610486,18
317B ANCHORVALE RD,FARMWAY LRT STATION,0.37511907107974096,20
53 KENT RD,FARRER PARK MRT STATION,0.5154927347590368,16
431D YISHUN AVE 1,KHATIB MRT STATION,1.5828635619350246,2
141 PETIR RD,PETIR LRT STATION,0.2628833874147648,14
150 SILAT AVE,OUTRAM PARK MRT STATION,0.9541878812602075,9
2 HOUGANG AVE 3,HOUGANG MRT STATION,0.9063640276785524,2
5 TELOK BLANGAH CRES,TIONG BAHRU MRT STATION,1.1982590218288118,6
119D RIVERVALE DR,KANGKAR LRT STATION,0.21859903387249793,15
688C WOODLANDS DR 75,ADMIRALTY MRT STATION,0.7614107514420296,2
424C YISHUN AVE 11,YISHUN MRT STATION,1.7168116189503568,2
490C CHOA CHU KANG AVE 5,SOUTH VIEW LRT STATION,0.6406002908068638,6
903 JURONG WEST ST 91,PIONEER MRT STATION,1.2791758538252063,2
410 PANDAN GDNS,JURONG EAST MRT STATION,1.6645491497394467,2
502 JELAPANG RD,JELAPANG LRT STATION,0.41284864257248616,13
683B CHOA CHU KANG CRES,YEW TEE MRT STATION,0.7013209929820001,1
221 SIMEI ST 4,SIMEI MRT STATION,0.39465240537389445,7
596A ANG MO KIO ST 52,ANG MO KIO MRT STATION,0.316801208661158,2
303 CANBERRA RD,SEMBAWANG MRT STATION,0.5507589749769675,2
714 CLEMENTI WEST ST 2,CLEMENTI MRT STATION,1.2452723466691529,1
30 JLN KLINIK,TIONG BAHRU MRT STATION,0.20965114077664346,9
746 PASIR RIS ST 71,PASIR RIS MRT STATION,1.6856475461889577,1
645 PASIR RIS DR 10,PASIR RIS MRT STATION,1.4083224594406558,1
803C KEAT HONG CL,SOUTH VIEW LRT STATION,0.7775736679109378,8
740 PASIR RIS ST 71,PASIR RIS MRT STATION,1.5718956700269793,1
446A BT BATOK WEST AVE 8,CHINESE GARDEN MRT STATION,1.1503167126096492,5
611 BT PANJANG RING RD,SENJA LRT STATION,0.14308201602403742,17
40 SIMS DR,GEYLANG BAHRU MRT STATION,0.6673283929492326,15
492D TAMPINES ST 45,TAMPINES EAST MRT STATION,0.8515156481087314,4
431 ANG MO KIO AVE 10,ANG MO KIO MRT STATION,0.42566838531339624,4
623 BEDOK RESERVOIR RD,BEDOK NORTH MRT STATION,0.17544852831240237,6
777 PASIR RIS ST 71,PASIR RIS MRT STATION,1.3460384120381041,1
816A KEAT HONG LINK,KEAT HONG LRT STATION,0.2857311480941636,13
179 TOA PAYOH CTRL,TOA PAYOH MRT STATION,0.32122444790546567,6
91A TELOK BLANGAH ST 31,LABRADOR PARK MRT STATION,0.6675733045033025,4
176 WOODLANDS ST 13,MARSILING MRT STATION,0.4888320991512428,5
431 TAMPINES ST 41,TAMPINES EAST MRT STATION,0.5711890625360942,5
457 YISHUN ST 41,KHATIB MRT STATION,1.4369776629208066,2
216B COMPASSVALE DR,SENGKANG LRT STATION,0.22966321940348222,20
12 PINE CL,MOUNTBATTEN MRT STATION,0.253009262753215,8
434 ANG MO KIO AVE 10,ANG MO KIO MRT STATION,0.48937689821136887,4
229 SIMEI ST 4,SIMEI MRT STATION,0.3079187856975212,8
609 YISHUN ST 61,KHATIB MRT STATION,0.5476522192831339,2
222 LOR 8 TOA PAYOH,BRADDELL MRT STATION,1.0389494633277858,8
808C CHOA CHU KANG AVE 1,KEAT HONG LRT STATION,0.509537781060188,11
195B PUNGGOL RD,COVE LRT STATION,0.2389406751618718,24
624 ANG MO KIO AVE 4,YIO CHU KANG MRT STATION,0.5503606707918328,2
869A TAMPINES AVE 8,TAMPINES MRT STATION,1.1921827270535315,3
802 YISHUN RING RD,KHATIB MRT STATION,0.18616489322079113,2
961 JURONG WEST ST 92,PIONEER MRT STATION,0.7168512172238469,2
521 JURONG WEST ST 52,LAKESIDE MRT STATION,0.4890038228884212,3
369 WOODLANDS AVE 1,WOODLANDS MRT STATION,0.2966504874270101,6
322 ANG MO KIO AVE 3,ANG MO KIO MRT STATION,0.2660533639376019,4
162 YUNG PING RD,LAKESIDE MRT STATION,1.6203258335399904,2
111 BT PURMEI RD,HARBOURFRONT MRT STATION,1.1788042694313614,6
220C BEDOK CTRL,BEDOK MRT STATION,0.46628708277344233,3
117 TECK WHYE LANE,KEAT HONG LRT STATION,0.26722567778006745,13
450E TAMPINES ST 42,TAMPINES EAST MRT STATION,0.2325340479919793,6
101A LOR 2 TOA PAYOH,BRADDELL MRT STATION,0.09622303249335909,7
675 CHOA CHU KANG CRES,YEW TEE MRT STATION,0.4509023937861275,3
47 MOH GUAN TER,TIONG BAHRU MRT STATION,0.5006964334396957,11
440 PASIR RIS DR 4,PASIR RIS MRT STATION,1.136471737235686,2
232 BAIN ST,BRAS BASAH MRT STATION,0.2987776447916072,30
70C TELOK BLANGAH HTS,TELOK BLANGAH MRT STATION,0.5927238199003478,5
411A FERNVALE RD,FERNVALE LRT STATION,0.1628732339442585,9
