SEARCHVAL,LATITUDE,LONGITUDE
UOB CHANGI AIRPORT TERMINAL 3 - B2 SOUTH,1.355889462,103.9858841
OCBC CHANGI AIRPORT TERMINAL 3 - ARRIVAL HALL NORTH,1.355568558,103.9858521
OCBC CHANGI AIRPORT TERMINAL 3 - DEPARTURE CHECK-IN HALL NORTH,1.355568558,103.9858521
CHANGI AIRPORT BUS TERMINAL 3,1.356406287,103.9862118
CITIBANK CHANGI AIRPORT TERMINAL 3 DEPARTURE HALL CHECK-IN HALL SOUTH,1.356086083,103.9866106
DBS CHANGI AIRPORT TERMINAL 3 BASEMENT 2,1.354370741,103.9851696
DBS CHANGI AIRPORT TERMINAL 3 DEPARTURE CHECK-IN HALL,1.354370741,103.9851696
HSBC CHANGI AIRPORT T3 ARRIVAL HALL SOUTH CENTRAL,1.356364149,103.9867699
UOB CHANGI AIRPORT TERMINAL 3 - CHECK-IN HALL NORTH,1.355889462,103.9858841
UOB CHANGI AIRPORT TERMINAL 3 - DEPARTURE TRANSIT LOUNGE SOUTH CENTRAL,1.355889462,103.9858841
OCBC CHANGI AIRPORT TERMINAL 3 - BASEMENT 2 SOUTH (IN FRONT OF FOODCOURT),1.355568558,103.9858521
OCBC CHANGI AIRPORT TERMINAL 3 - DEPARTURE CHECK-IN HALL SOUTH,1.355568558,103.9858521
OCBC CHANGI AIRPORT TERMINAL 3 - DEPARTURE TRANSIT SOUTH CENTRAL,1.355568558,103.9858521
RAFFLES MEDICAL 24-HR CLINIC (CHANGI AIRPORT),1.356226404,103.986102
DBS WEST MALL,1.350375416,103.7491239
BUKIT BATOK CENTRAL POST OFFICE,1.349921529,103.749172
BUKIT BATOK PUBLIC LIBRARY,1.34976579,103.7492062
CATHAY CINEPLEX WEST MALL,1.350097148,103.7492139
UOB WEST MALL,1.350296836,103.7490642
WEST MALL,1.35001921,103.7492448
PUNGGOL PARCVISTA,1.410819269,103.9003717
21 TUAS VIEW SQUARE SINGAPORE 637640,1.298917125,103.6275324
MY FIRST SKOOL,1.342706189,103.9530245
DBS EASTPOINT BR 1,1.342691998,103.9530508
DBS EASTPOINT MALL EBC 1,1.342691998,103.9530508
OCBC EASTPOINT MALL - FAIRPRICE,1.342691998,103.9530508
EASTPOINT MALL,1.342705924,103.9530246
DBS NTUC SIMEI,1.342691998,103.9530508
UOB EASTPOINT MALL AUTO LOBBY,1.342691998,103.9530508
NEW LIFE COMMUNITY SERVICES,1.380521368,103.7600594
DBS JUNCTION 10,1.38018163,103.7604193
MINDCHAMPS PRESCHOOL @JUNCTION 10 PTE LIMITED,1.38055128,103.760107
JUNCTION 10,1.38033681,103.7601679
BUONA VISTA COMMUNITY CLUB,1.309229842,103.7926609
BUONA VISTA COMMUNITY CLUB COMPLEX,1.309183033,103.7926405
OCBC HOLLAND DRIVE - FAIRPRICE,1.309194077,103.7926399
DBS NTUC HOLLAND DRIVE,1.309174198,103.7926926
UOB BUONA VISTA COMMUNITY CLUB,1.309183033,103.7926405
118 ALJUNIED AVENUE 2 SINGAPORE 380118,1.320000402,103.8873631
HDB GEYLANG BRANCH,1.320048977,103.8874066
TODDLERS' COTTAGE,1.320000409,103.8873631
THAI GOOD NEWS CENTRE,1.30289295,103.8653283
UOB GOLDEN MILE COMPLEX,1.302924747,103.8653732
GOLDEN MILE COMPLEX,1.302751216,103.8651636
GOLDEN MILE SHOPPING CENTRE,1.302771206,103.8651721
OCBC GOLDEN MILE COMPLEX,1.302771205,103.8651721
UOB TOA PAYOH LORONG 4,1.333557721,103.8509779
181 LORONG 4 TOA PAYOH SINGAPORE 310181,1.333619362,103.8509787
CITIBANK BISHAN JUNCTION 8,1.350182003,103.8485157
DBS BISHAN BRANCH,1.35023943,103.8485822
UOB JUNCTION 8 SHOPPING CENTRE,1.350172433,103.8484301
OCBC JUNCTION 8 SHOPPING CENTRE,1.350172432,103.8485537
DBS NTUC JUNCTION 8 SHOPPING CENTRE,1.350316,103.8484966
JUNCTION 8,1.350481253,103.8487605
GOLDEN VILLAGE (GV BISHAN),1.350422157,103.8488262
OCBC BISHAN BRANCH,1.350324663,103.8485579
PUNGGOL REGALIA,1.402303014,103.9012624
EAST VILLAGE,1.331775815,103.9462012
OCBC HEARTLAND MALL,1.359544509,103.8851691
DBS HEARTLAND MALL BRANCH,1.359544509,103.8851691
HEARTLAND MALL-KOVAN,1.359541773,103.8851674
