flat,supermarket_dist,num_supermarket_2km
307 SERANGOON AVE 2,0.4238674422888223,11
54 TEBAN GDNS RD,0.18880972597418774,16
277B COMPASSVALE LINK,0.0792004290981254,16
110 GANGSA RD,0.485028653655157,13
572 HOUGANG ST 51,0.12259219365456729,19
817 YISHUN ST 81,0.4526607862994981,10
362B SEMBAWANG CRES,0.3830194167471833,18
504 JURONG WEST ST 51,0.20058322198707293,10
470 SEGAR RD,0.4109124973099086,8
110 WOODLANDS ST 13,0.6429193843016766,8
121 BISHAN ST 12,0.20750541837839911,13
144 BISHAN ST 12,0.4909550317945523,11
681 CHOA CHU KANG CRES,0.6782500349545519,7
173D PUNGGOL FIELD,0.22056725630007284,14
253 SIMEI ST 1,0.10935491668882565,16
808B CHOA CHU KANG AVE 1,0.2669687286195281,14
126 POTONG PASIR AVE 1,0.33861571588266565,16
554 HOUGANG ST 51,0.213787844642434,17
868 TAMPINES ST 83,0.0846056740583596,10
139B LOR 1A TOA PAYOH,0.5559786710659403,18
547 CHOA CHU KANG ST 52,0.13267344671378026,8
505 CHOA CHU KANG ST 51,0.37716522899895394,9
114 LOR 1 TOA PAYOH,0.9414578558966749,14
319 JURONG EAST ST 31,0.2867211572651587,12
43 SIMS DR,0.5096102118763899,28
988B JURONG WEST ST 93,0.3421082107744109,8
16 JOO SENG RD,0.2971579710497382,12
69 MOULMEIN RD,0.41909809898248024,26
406A FERNVALE RD,0.4244247138581622,12
544 JELAPANG RD,0.16989637292342027,11
827 TAMPINES ST 81,0.11320682322454176,14
134 LOR AH SOO,0.5862983188519274,13
555 PASIR RIS ST 51,0.48099396721518084,16
187 PASIR RIS ST 11,0.47128016948980256,13
305 TAMPINES ST 32,0.3364527100870268,15
103 LENGKONG TIGA,0.24513159564915252,17
590B ANG MO KIO ST 51,0.1940606521715914,13
838 TAMPINES ST 82,0.18749286372942955,12
325 SERANGOON AVE 3,0.38028880118045866,10
113 TAMPINES ST 11,0.16156752193456844,19
615 WOODLANDS AVE 4,0.3677093576100866,14
250 BANGKIT RD,0.19687953447710158,8
716 YISHUN ST 71,0.6445226479959629,13
18 MARINE TER,0.2908231738081514,11
327 TAH CHING RD,0.2815430221533925,16
7 JLN BT MERAH,0.09783215823316639,14
338 BT BATOK ST 34,0.15528038078092057,16
443 YISHUN AVE 11,0.19726873752742827,15
706 WOODLANDS DR 40,0.33132353970708517,14
6 FARRER RD,0.7521008148614782,12
321 TAH CHING RD,0.5096674631617447,15
360 BT BATOK ST 31,0.23626690249975843,15
805 KING GEORGE'S AVE,0.03634223287083467,29
486 PASIR RIS DR 4,0.14891424700988282,9
235 BT PANJANG RING RD,0.14811538000391627,10
751 YISHUN ST 72,0.21727259287728998,15
129 SIMEI ST 1,0.3199626131340214,17
94C BEDOK NTH AVE 4,0.44658853929154896,20
219C BEDOK CTRL,0.23536652147580586,21
111A DEPOT RD,0.1495111518941674,13
228 PASIR RIS ST 21,0.38349755740050173,10
335 HOUGANG AVE 7,0.4994336089850759,13
222A SUMANG LANE,0.6029736447061544,17
931 YISHUN CTRL 1,0.10180828523587258,15
359C ADMIRALTY DR,0.11853419215639742,18
425 JURONG WEST AVE 1,0.08359652995336389,7
16 ST. GEORGE'S RD,0.44842203478923837,25
305 CHOA CHU KANG AVE 4,0.2438285570057615,11
505 BEDOK NTH AVE 3,0.25657080251452924,21
91 TANGLIN HALT RD,0.21238439329087208,16
48 LOWER DELTA RD,0.07582251851140111,27
103B DEPOT RD,0.3481084728206727,16
225B COMPASSVALE WALK,0.4199695000789485,17
4 QUEEN'S RD,0.5936868611068103,12
346 CHOA CHU KANG LOOP,0.15359735261698734,11
154 BT BATOK ST 11,0.0494126130812583,19
125 SERANGOON NTH AVE 1,0.38433367522116346,17
327C SUMANG WALK,0.1451250366402268,13
106 PASIR RIS ST 12,0.15531644876093742,12
357C ADMIRALTY DR,0.12947147934543407,13
242 HOUGANG ST 22,0.43987900188850515,11
623 WOODLANDS DR 52,0.47332096603155016,13
39 CAMBRIDGE RD,0.15750528489145404,27
647 JURONG WEST ST 61,0.17345822386993354,9
413 BEDOK NTH AVE 2,0.2014486338331971,20
683A EDGEDALE PLAINS,0.40664169786155,12
328 SERANGOON AVE 3,0.4421094802826564,11
89 C'WEALTH DR,0.3967284961557801,15
59 TELOK BLANGAH HTS,0.5624880893279549,14
781 PASIR RIS ST 71,0.6465823669803885,6
913 JURONG WEST ST 91,0.43494853819766477,9
98 ALJUNIED CRES,0.14735607061701628,28
160 BT BATOK ST 11,0.08233088701757918,21
177 TOA PAYOH CTRL,0.22126617219184108,20
456 CLEMENTI AVE 3,0.16876886041208494,14
36 CIRCUIT RD,0.14763808787169322,20
261D SENGKANG EAST WAY,0.19038432384013163,18
123D RIVERVALE DR,0.14515156233942883,16
1 CHANGI VILLAGE RD,3.249825979384525,0
775 WOODLANDS CRES,0.13198786641422486,14
311D ANCHORVALE LANE,0.7371668353993422,13
165A PUNGGOL CTRL,0.2034459057791109,11
307C ANG MO KIO AVE 1,0.2976183937358232,17
363 CLEMENTI AVE 2,0.3158326233855229,16
374 CLEMENTI AVE 4,0.2811264647807795,13
898A WOODLANDS DR 50,0.20585085215049923,14
859 WOODLANDS ST 83,0.34045487814831743,14
23 BEDOK STH AVE 1,0.23652220476976563,21
7 EVERTON PK,0.42568937066000195,20
412 TAMPINES ST 41,0.39158667323101165,18
341 CLEMENTI AVE 5,0.1621451595234912,14
690F WOODLANDS DR 75,0.08664477013317583,18
250 CHOA CHU KANG AVE 2,0.24050784625832025,13
14 MARINE TER,0.23550426080013884,10
223 SIMEI ST 4,0.5189575132155959,15
445B FERNVALE RD,0.17897341364264807,9
54 LOR 5 TOA PAYOH,0.4251188039978293,17
234 BT PANJANG RING RD,0.1292949806013595,10
203 SERANGOON CTRL,0.1820937807664178,11
48 STRATHMORE AVE,0.27600073038638673,12
274A COMPASSVALE BOW,0.37168134781158313,18
455A ANG MO KIO ST 44,0.5932529360146589,14
671B JURONG WEST ST 65,0.5597141172017228,9
770 PASIR RIS ST 71,0.5106678863785796,5
201C COMPASSVALE DR,0.17609261561173262,19
114 POTONG PASIR AVE 1,0.6300494593699659,18
643 WOODLANDS RING RD,0.2547824480885146,15
471B FERNVALE ST,0.20014907937219048,9
131 BT BATOK WEST AVE 6,0.32101906480312925,19
666 CHOA CHU KANG CRES,0.7180078745927476,6
56 TELOK BLANGAH HTS,0.40025079415668247,12
298 YISHUN ST 20,0.18392141664121184,12
473 SEMBAWANG DR,0.15473842933149698,13
663C PUNGGOL DR,0.20202805220832235,10
279 TAMPINES ST 22,0.1374463632286651,19
173 WOODLANDS ST 13,0.4197135691338572,8
121 PASIR RIS ST 11,0.5176555906074907,15
612 BEDOK RESERVOIR RD,0.1815383407062385,18
404 PANDAN GDNS,0.742199066550124,15
172 GANGSA RD,0.31451424919037974,12
120 BEDOK NTH ST 2,0.17961525412949325,18
636 YISHUN ST 61,0.5413937616442364,15
1B CANTONMENT RD,0.24804663034645483,19
684C WOODLANDS DR 62,0.3299882867686971,18
163 GANGSA RD,0.47304976655056374,15
186B RIVERVALE DR,0.14199603092050977,19
482 JURONG WEST ST 41,0.13514874996272327,9
335C ANCHORVALE CRES,0.21452888374175091,14
727 TAMPINES ST 71,0.15534559104934503,11
157 HOUGANG ST 11,0.12727354473656582,12
279B SENGKANG EAST AVE,0.08877139394366655,17
669B EDGEFIELD PLAINS,0.25704015377986617,13
511 JURONG WEST ST 52,0.41211483961426065,11
636 WOODLANDS RING RD,0.37880980963488997,15
421 JURONG WEST ST 42,0.30620247283300084,11
880 TAMPINES AVE 8,0.40216291910160873,11
611 YISHUN ST 61,0.36933500400476904,15
679A JURONG WEST CTRL 1,0.5408093681648333,11
357 HOUGANG AVE 7,0.576249615347648,12
401 BEDOK NTH AVE 3,0.3109058416319771,19
425 CHOA CHU KANG AVE 4,0.23599685712164656,9
725 ANG MO KIO AVE 6,0.15396039233677153,12
619B PUNGGOL DR,0.26587006777756517,14
103 PASIR RIS ST 12,0.14659625521450514,12
142 JLN BT MERAH,0.6797074110612261,21
640 PASIR RIS DR 1,0.356023534063909,6
667 HOUGANG AVE 4,0.21222206221479764,18
240 SERANGOON AVE 2,0.1570905415830924,10
439 CHOA CHU KANG AVE 4,0.3929237430200789,9
122 PENDING RD,0.2798765141363959,12
