flat,school,school_dist,num_school_2km,mrt,mrt_dist,num_mrt_2km,supermarket_dist,num_supermarket_2km,dist_dhoby
108C CANBERRA WALK,Wellington Primary School,1.1708543695022429,9,CANBERRA MRT STATION,0.5249809408135797,2,0.9955328961006358,11,16.438779991920413
228 SIMEI ST 4,Changkat Primary School,0.5070098837210496,17,SIMEI MRT STATION,0.3092126205518128,7,0.3361234537224905,17,13.221043306060274
648C JURONG WEST ST 61,Jurong West Primary School,0.0977657493227736,12,PIONEER MRT STATION,0.1662471913912024,2,0.3093079835631342,9,16.973263222889827
112 CLEMENTI ST 13,Pei Tong Primary School,0.7814223733909961,10,CLEMENTI MRT STATION,1.0520130994045764,2,0.138034894684173,12,8.804064676631823
908 TAMPINES AVE 4,St. Hilda's Primary School,0.1586156013469071,27,TAMPINES WEST MRT STATION,0.556672609200109,6,0.4476110666444391,14,11.840999897341106
423 CANBERRA RD,Endeavour Primary School,0.0832658257940793,8,SEMBAWANG MRT STATION,0.5612200825331415,2,0.1583917374648169,13,17.341913088197554
575 WOODLANDS DR 16,Woodlands Ring Primary School,0.4169072887903239,17,WOODLANDS SOUTH MRT STATION,0.5741169137619258,4,0.3907717321450519,11,15.531952753111748
166 BT BATOK WEST AVE 8,Princess Elizabeth Primary School,0.3029700226495862,11,BUKIT BATOK MRT STATION,0.7811066080413102,5,0.0021757102854814,19,12.570285135331973
709 YISHUN AVE 5,Jiemin Primary School,0.3147991699215454,13,YISHUN MRT STATION,0.8146928196870077,3,0.7076452413575547,13,14.425843090572513
766 WOODLANDS CIRCLE,Evergreen Primary School,0.355726958789104,16,ADMIRALTY MRT STATION,0.7480421466503437,4,0.1259953168407079,15,17.09463671137248
865 WOODLANDS ST 83,Evergreen Primary School,0.4022072583661725,19,WOODLANDS MRT STATION,0.7663867481810712,5,0.2932998465824016,14,16.72036890680717
832 HOUGANG CTRL,Montfort Junior School,0.3307087552903329,14,HOUGANG MRT STATION,0.2945361763304208,5,0.4832472164501053,18,9.313673879614134
340 BT BATOK ST 34,St. Anthony's Primary School,0.112454961710537,7,BUKIT GOMBAK MRT STATION,0.5521174336236183,8,0.310407170523705,15,12.781454120083268
157 BISHAN ST 13,Kuo Chuan Presbyterian Primary School,0.4130934791777255,17,BISHAN MRT STATION,1.0195086000015423,9,0.653147990038117,15,5.322605650820064
114 BT BATOK WEST AVE 6,Princess Elizabeth Primary School,0.5581468920611131,12,BUKIT BATOK MRT STATION,0.3977142337391236,5,0.3035437745517322,21,12.33003822220572
449 CLEMENTI AVE 3,Clementi Primary School,0.2448973904852525,6,CLEMENTI MRT STATION,0.1584208403281296,2,0.1396784370665574,13,9.094786699783988
424 TAMPINES ST 41,Gongshang Primary School,0.103159703704428,28,TAMPINES MRT STATION,0.5757704383266126,6,0.309655564486095,18,13.13720902876023
602 WOODLANDS DR 42,Woodlands Ring Primary School,0.3792817153189506,17,ADMIRALTY MRT STATION,0.5756316609284237,5,0.1705487304605174,14,16.295203946902532
5A UPP BOON KENG RD,Geylang Methodist School (Primary),1.247488118526046,7,KALLANG MRT STATION,0.3070710285349354,11,0.1313399053894406,25,3.498242041730952
641B PUNGGOL DR,Waterway Primary School,0.2222027954856356,12,KADALOOR LRT STATION,0.0895230199996458,14,0.097506845570696,10,13.566258285981512
305 UBI AVE 1,Maha Bodhi School,0.1459258725275037,7,UBI MRT STATION,0.3481488972317512,10,0.0659552803657552,19,7.167552734157468
244 KIM KEAT LINK,Pei Chun Public School,0.6823102097009706,14,TOA PAYOH MRT STATION,1.0091025761656915,6,0.1961638497857748,19,3.682802032070687
249 BISHAN ST 22,Catholic High School (Primary),0.7592401645396674,13,ANG MO KIO MRT STATION,1.1565884338180303,4,0.4370495218619756,16,6.8502919315920066
902 TAMPINES AVE 4,St. Hilda's Primary School,0.2562948890083739,25,TAMPINES MRT STATION,0.5986623473508575,6,0.5163389409540018,13,11.927066075681198
148 YISHUN ST 11,Ahmad Ibrahim Primary School,0.1490202454323651,15,YISHUN MRT STATION,0.4061007942943698,3,0.4061450144315152,15,14.737502215350084
893A WOODLANDS DR 50,Woodlands Primary School,0.1113719565765157,20,WOODLANDS MRT STATION,0.309100298344136,6,0.4622087912399597,16,16.379994600052576
25 TEBAN GDNS RD,Fuhua Primary School,1.4962600999249984,2,JURONG EAST MRT STATION,1.222180949948387,2,0.11243146714411,16,12.24841580331651
108 GANGSA RD,Zhenghua Primary School,0.3170118474899054,11,PETIR LRT STATION,0.0623401255940353,14,0.4791213310567729,13,12.263921554337614
220A SUMANG LANE,Punggol Green Primary School,0.4643411615235089,24,SOO TECK LRT STATION,0.4867840980161603,23,0.494958256963391,18,12.565597298537579
673 HOUGANG AVE 8,Xinmin Primary School,0.2309843856043683,15,HOUGANG MRT STATION,0.8492939083844036,6,0.1587810940622159,18,9.214305460713662
485B TAMPINES AVE 9,White Sands Primary School,0.804940908565298,20,TAMPINES EAST MRT STATION,0.4526258400987122,5,0.3721639190174001,18,14.06495627859811
518 PASIR RIS ST 52,Elias Park Primary School,0.0599805962116361,12,PASIR RIS MRT STATION,0.5383442890016662,1,0.5499014364142608,9,13.82371626758965
179 BISHAN ST 13,Kuo Chuan Presbyterian Primary School,0.284230079462001,17,BISHAN MRT STATION,0.4230846150192939,7,0.2414171565138319,14,5.500019590279667
306B PUNGGOL PL,Punggol View Primary School,0.0994132593524087,22,DAMAI LRT STATION,0.3180467364051739,22,0.2327024313829404,16,13.563174975145806
341 SEMBAWANG CL,Sembawang Primary School,0.3433480089591548,10,SEMBAWANG MRT STATION,0.2672205206812487,2,0.1522393189199097,13,16.604712186015
106 GANGSA RD,Zhenghua Primary School,0.2791586404962469,11,PETIR LRT STATION,0.0823075860172943,14,0.4731252520813187,13,12.273210019421937
670A EDGEFIELD PLAINS,Oasis Primary School,0.2213261924324975,20,OASIS LRT STATION,0.3436150582719193,18,0.112155143679526,13,13.93915791945374
647 HOUGANG AVE 8,Xinmin Primary School,0.3066931642482083,15,HOUGANG MRT STATION,1.3352165687031583,4,0.0576795632086105,19,8.93379978686532
148 GANGSA RD,Bukit Panjang Primary School,0.4358849049768238,11,PETIR LRT STATION,0.2099321372902655,15,0.5620236072673097,13,12.21641977254385
790 WOODLANDS AVE 6,Admiralty Primary School,0.2954546386461418,18,ADMIRALTY MRT STATION,0.3203239357719238,4,0.317987819391968,19,16.553913958219983
636 BEDOK RESERVOIR RD,Maha Bodhi School,0.4384482138730015,7,UBI MRT STATION,0.5860500347334933,9,0.3030201282681941,14,7.455499215957777
624B PUNGGOL CTRL,Horizon Primary School,0.229261682555878,23,OASIS LRT STATION,0.2032398741455933,19,0.1333935554839962,15,13.433288282133104
253 ANG MO KIO ST 21,CHIJ St. Nicholas Girls' School,0.4463957961832565,9,ANG MO KIO MRT STATION,1.658396110234829,2,0.3135748470690831,11,7.846730675594507
303A PUNGGOL CTRL,Punggol View Primary School,0.1656055242045551,23,DAMAI LRT STATION,0.3526332178961921,23,0.0423184501175961,17,13.36942571367078
313 HOUGANG AVE 5,Holy Innocents' Primary School,0.2038270710953378,11,HOUGANG MRT STATION,0.7231979960140856,3,0.1172086381932855,14,9.13478327220969
159 JLN TECK WHYE,Teck Whye Primary School,0.4945167064651621,15,PHOENIX LRT STATION,0.2502043345981775,17,0.3404368017128443,18,13.332258361162632
276 TAMPINES ST 22,Angsana Primary School,0.15545597488598,23,SIMEI MRT STATION,0.5582090351182986,8,0.1211761805415078,17,12.874263598256785
352 YISHUN RING RD,Huamin Primary School,0.0933908756429926,14,YISHUN MRT STATION,1.1504341270022602,2,0.2845429462334515,15,14.06016358095843
56 PIPIT RD,Canossa Catholic Primary School,0.7525684514911337,10,MACPHERSON MRT STATION,0.2377799654875314,11,0.3283106010235788,26,5.535667015769264
95A HENDERSON RD,Zhangde Primary School,0.5625583309270671,11,REDHILL MRT STATION,0.6154524167159213,3,0.3107807502979408,17,3.0090221836578634
684A JURONG WEST ST 64,Westwood Primary School,0.5164376153886603,16,BOON LAY MRT STATION,0.6436019356732545,3,0.5323221800525715,10,16.489594821440978
337 CLEMENTI AVE 2,Pei Tong Primary School,0.1690991450213037,7,CLEMENTI MRT STATION,0.4396428340525993,2,0.182175553260992,15,8.67718518323282
490D CHOA CHU KANG AVE 5,Chua Chu Kang Primary School,0.1981846450178044,7,SOUTH VIEW LRT STATION,0.645008238157985,6,0.3335339946330576,10,14.3427029307276
642B PUNGGOL DR,Waterway Primary School,0.2701021396018939,16,KADALOOR LRT STATION,0.1456089292022205,14,0.1320130973554714,10,13.496658016532976
330A ANCHORVALE ST,Springdale Primary School,0.2165152076207043,23,FARMWAY LRT STATION,0.0879271857478124,21,0.0731171250130989,18,11.849685782441703
558 PASIR RIS ST 51,Tampines Primary School,0.7713009884570908,19,PASIR RIS MRT STATION,0.7370312921214975,4,0.5287995947211482,16,13.999555124436881
417 TAMPINES ST 41,Tampines Primary School,0.2473524261493219,26,TAMPINES MRT STATION,0.6252989788543852,6,0.3526447781640913,18,13.117978465497401
526 WOODLANDS DR 14,Woodgrove Primary School,0.2418749655720409,19,WOODLANDS SOUTH MRT STATION,0.6350194323000573,5,0.2947108799599889,12,15.885694086680926
518B TAMPINES CTRL 7,Poi Ching School,0.40640827427529,20,TAMPINES MRT STATION,0.5058909318088863,4,0.4840400606641366,14,12.15808975466893
109 JURONG EAST ST 13,Fuhua Primary School,0.1961095377632983,9,CHINESE GARDEN MRT STATION,0.5731984431819108,5,0.2737116228067647,20,12.915554794779121
70A TELOK BLANGAH HTS,Blangah Rise Primary School,0.3066134177838902,7,TELOK BLANGAH MRT STATION,0.6472018434751149,5,0.4313524516765754,14,4.54698411312238
359 CLEMENTI AVE 2,Pei Tong Primary School,0.3904337732727845,7,CLEMENTI MRT STATION,0.530261940151731,2,0.1884876843778127,16,8.539960472687913
39 JLN BAHAGIA,Hong Wen School,0.6239932503095266,14,BOON KENG MRT STATION,1.0614285503835563,8,0.3289615460162841,22,3.3108941696269
180 BEDOK NTH RD,Bedok Green Primary School,0.4929476433155544,10,TANAH MERAH MRT STATION,0.6058942738123242,3,0.2824932501433613,17,11.063283054524266
184 EDGEFIELD PLAINS,Edgefield Primary School,0.3089840040496678,23,MERIDIAN LRT STATION,0.222866341360843,21,0.227165453610726,15,13.131409739013884
342C YISHUN RING RD,Huamin Primary School,0.3260694713014434,12,YISHUN MRT STATION,1.0432863552443798,2,0.2199899608838674,14,14.442650898640249
230 YISHUN ST 21,Xishan Primary School,0.1756482911038144,11,YISHUN MRT STATION,0.5954165097331383,3,0.1314852142802328,14,14.988319496101127
41 KIM CHENG ST,Zhangde Primary School,0.6298112554507406,9,TIONG BAHRU MRT STATION,0.5350485588199418,11,0.2555073128882755,25,2.221513590930629
649 WOODLANDS RING RD,Admiralty Primary School,0.4081814449453349,17,ADMIRALTY MRT STATION,0.1823889427722817,4,0.1215556441992559,15,16.20813295755738
612C PUNGGOL DR,Punggol View Primary School,0.2898387554298537,22,DAMAI LRT STATION,0.0929992422475649,20,0.1132807497817686,16,13.606061848915449
628A WOODLANDS RING RD,Woodlands Ring Primary School,0.3800403577426681,17,ADMIRALTY MRT STATION,0.6205678925062357,4,0.5560421432931587,13,15.795357385790625
710 HOUGANG AVE 2,Holy Innocents' Primary School,0.6904424133316334,16,HOUGANG MRT STATION,0.7123284631613682,3,0.7557174190864165,19,8.830183419279809
77 MARINE DR,Tao Nan School,0.4896185595802051,7,EUNOS MRT STATION,2.052492483158922,0,0.1767494885902741,10,7.051214532090686
270B PUNGGOL FIELD,Punggol Green Primary School,0.248553424019112,24,SOO TECK LRT STATION,0.2318483980932,21,0.2849866779915728,17,13.040896826832071
450F TAMPINES ST 42,Gongshang Primary School,0.4405954717454949,26,TAMPINES EAST MRT STATION,0.2603424401954965,5,0.2651194587454654,17,13.629836714155497
326 YISHUN RING RD,Huamin Primary School,0.3477842245041772,14,YISHUN MRT STATION,0.8275156298025238,2,0.0577060383300543,14,14.405093289885714
41 STIRLING RD,New Town Primary School,0.2325559982059819,4,COMMONWEALTH MRT STATION,0.5824499625871656,7,0.5755547506489166,15,4.824508775664822
223 CHOA CHU KANG CTRL,South View Primary School,0.1949528895067329,12,SOUTH VIEW LRT STATION,0.1574899694729405,10,0.3484547201611331,12,14.432190314748514
42 STIRLING RD,New Town Primary School,0.2842156430410441,4,QUEENSTOWN MRT STATION,0.5541954944336721,7,0.6281319380103596,14,4.7850635389981715
10A BENDEMEER RD,Hong Wen School,0.8140456778817046,8,BENDEMEER MRT STATION,0.3106811307769969,14,0.434643157887524,28,2.424183370535112
161A PUNGGOL CTRL,Greendale Primary School,0.3075914252650587,18,RIVIERA LRT STATION,0.1897988432245875,14,0.2785216810064129,11,13.194850530377922
113 LOR 3 GEYLANG,Geylang Methodist School (Primary),1.2834569000855645,6,KALLANG MRT STATION,0.2776525173020814,11,0.1777740337816599,25,3.466305417124113
254 ANG MO KIO AVE 4,CHIJ St. Nicholas Girls' School,0.365175047469167,8,ANG MO KIO MRT STATION,1.6546507419458854,2,0.3719276793718354,10,7.927472317486089
269C COMPASSVALE LINK,North Vista Primary School,0.0889777445074983,20,RANGGUNG LRT STATION,0.1197179637537567,13,0.1827809599809288,16,10.90955922157114
331 UBI AVE 1,Eunos Primary School,0.2598636767554738,8,UBI MRT STATION,0.6047891539284466,10,0.4038089343169033,17,7.148149958573512
144 TAMPINES ST 12,Tampines Primary School,0.1535643322243794,26,TAMPINES MRT STATION,0.5616868514957871,6,0.3908612123250203,18,12.227498456668641
222 BISHAN ST 23,Catholic High School (Primary),0.6004575506725678,13,BISHAN MRT STATION,0.7507686574646367,6,0.4988648309362762,15,6.5015969307969685
493 ADMIRALTY LINK,Northoaks Primary School,0.2857362739801095,8,SEMBAWANG MRT STATION,0.9058922905396328,1,0.2725843689635396,13,17.67392804487447
525 BEDOK NTH ST 3,Yu Neng Primary School,0.3569747478844382,14,BEDOK RESERVOIR MRT STATION,0.4105421631951451,4,0.2996937154992065,19,10.109570388846544
334 CLEMENTI AVE 2,Pei Tong Primary School,0.1453775965834667,7,CLEMENTI MRT STATION,0.3477062867754623,2,0.2874816737564964,15,8.73126678147077
127 HOUGANG AVE 1,Methodist Girls' School (Primary),0.3881242680584584,9,KOVAN MRT STATION,0.8066169362319506,5,0.5467448944868192,12,7.438633722930821
672A JURONG WEST ST 65,West Grove Primary School,0.2238845208173798,14,PIONEER MRT STATION,0.7870251596184048,2,0.469590351702414,9,16.79827644480585
749 JURONG WEST ST 73,Westwood Primary School,0.2908178946141802,12,PIONEER MRT STATION,1.1614597093466892,2,0.5999547788746545,9,17.247616753062132
207D COMPASSVALE LANE,North Vista Primary School,0.2479503470158153,22,RANGGUNG LRT STATION,0.0511621510611444,16,0.2642298048976695,14,11.057882008521
173 HOUGANG AVE 1,Methodist Girls' School (Primary),0.4363365121968005,6,KOVAN MRT STATION,1.1890145182965033,5,0.4456680701135948,11,7.420742918414311
9 JLN KUKOH,River Valley Primary School,0.7860498164392571,9,CHINATOWN MRT STATION,0.6265740296216241,22,0.309937926376066,30,1.4718861362956521
38 TANGLIN HALT RD,New Town Primary School,0.2814832751983073,4,COMMONWEALTH MRT STATION,0.5471028975049567,7,0.5069357997084175,16,5.185774185401952
420 TAMPINES ST 41,Gongshang Primary School,0.1891069754106378,26,TAMPINES MRT STATION,0.5718081180457042,6,0.2822909470854602,18,13.092494268683437
401 PANDAN GDNS,Qifa Primary School,1.0538094056720515,6,JURONG EAST MRT STATION,1.671249909742963,3,0.8513953734529593,14,10.824039437450827
243 JURONG EAST ST 24,Yuhua Primary School,0.2581791266705723,11,JURONG EAST MRT STATION,0.9915899491659969,4,0.5664698093107684,18,12.294531532740876
